Section,Title,Description,Example Queries,Keywords,,,,,,,,
299,Culpable Homicide,Causing death with intention or knowledge.,"My neighbor accidentally killed someone during a fight, is that culpable homicide?; Someone caused a death without meaning to, what law applies?; Difference between accidental and intentional killing?; Can I be punished for causing death in a quarrel?; Example cases of culpable homicide in real life?",culpable homicide,death,intention,,,,,,
300,Murder,Culpable homicide amounting to murder.,"Someone planned and killed a person, what will happen legally?; My friend intentionally killed someone, is this murder?; Are there exceptions where intentional killing is not murder?; How is murder punished under IPC?; Famous cases of murder in India?",murder,culpable homicide,IPC,,,,,,
301,Culpable Homicide by Causing Death of Person Other Than Intended,Causing death of a person other than the one intended.,"I tried to harm one person but another died, what law applies?; What happens if someone dies accidentally while I intended to harm someone else?; Am I liable if I kill the wrong person?; Real examples of unintended death by my actions?; Difference between this and normal culpable homicide?",culpable homicide,unintended death,,,,,,,
302,Punishment for Murder,Punishment for murder.,What happens if someone commits murder?; Can murder result in the death penalty?; How long can a person be jailed for murder?; Are there cases where murder punishment is reduced?; Examples of punishments for murder cases?,murder,punishment,IPC,,,,,,
303,Punishment for Murder by Life Convict,Punishment for murder by a life convict.,What happens if a life convict commits murder?; Why is punishment for murder by a life convict stricter?; Is this section still used in India?; Difference in punishment between normal murder and murder by life convict?; Example cases of IPC 303?,murder,life convict,punishment,,,,,,
304,Punishment for Culpable Homicide Not Amounting to Murder,Punishment for culpable homicide not amounting to murder.,"Someone caused death but it’s not murder, what punishment applies?; How is IPC 304 different from murder?; Real examples of culpable homicide under IPC 304?; Factors deciding if a death is under IPC 304?; Difference between Part I and Part II of Section 304?",culpable homicide,punishment,,,,,,,
304A,Causing Death by Negligence,Causing death by negligence.,"A driver caused a fatal accident, can they be punished under IPC 304A?; Can doctors be prosecuted for medical negligence?; Difference between rash driving causing death and murder?; Examples of negligence leading to death?; What punishment applies for negligence causing death?",negligence,death,IPC,,,,,,
304B,Dowry Death,Death caused by burns or bodily injury within 7 years of marriage subject to dowry harassment.,"My sister died due to dowry harassment, what law applies?; What is the punishment for dowry death?; Difference between dowry death and murder?; Conditions to prove dowry death under IPC 304B?; Famous dowry death cases?",dowry death,marriage,harassment,,,,,,
305,Abetment of Suicide of Child or Insane Person,Abetment of suicide of a child or insane person.,"Someone encouraged a child to commit suicide, what law applies?; What punishment is there for abetting suicide of an insane person?; Difference between IPC 305 and 306?; Examples of child suicide abetment cases?; Why is IPC 305 considered more serious?",suicide,abetment,child,insane person,,,,,
306,Abetment of Suicide,Abetment of suicide.,"Someone was harassed and committed suicide, is abetment involved?; What punishment applies under IPC 306?; Difference between IPC 305 and 306?; Can mental harassment count as abetment?; Examples of abetment of suicide cases?",suicide,abetment,,,,,,,
307,Attempt to Murder,Attempt to murder.,"My neighbor tried to kill someone but failed, what law applies?; What is the punishment for attempted murder?; Difference between attempted murder and actual murder?; What evidence is needed to prove attempt to murder?; Case examples of attempt to murder?",attempt,murder,IPC,,,,,,
308,Attempt to Commit Culpable Homicide,Attempt to commit culpable homicide.,"Someone tried to harm someone but didn’t succeed, what section applies?; Punishment for attempt to commit culpable homicide?; Difference between IPC 308 and IPC 307?; Factors deciding whether it’s IPC 308 or IPC 307?; Examples of failed homicide attempts?",attempt,culpable homicide,,,,,,,
309,Attempt to Commit Suicide,Attempt to commit suicide.,"I tried to commit suicide but failed, am I punishable?; Is attempting suicide illegal under IPC 309?; Difference between IPC 309 and IPC 306?; Has IPC 309 been decriminalized?; Examples of legal action on suicide attempts?",suicide,attempt,,,,,,,
310,Adultery,Voluntary sexual intercourse with a married woman without her husband's consent.,"Someone had a relationship with a married woman, is this adultery?; What was the punishment for adultery?; Is adultery still a crime in India?; Difference between adultery and rape?; Example Supreme Court cases on adultery?",adultery,marriage,consent,,,,,,
311,Punishment for Abetment,Punishment for abetment.,"Someone helped commit a crime indirectly, what punishment applies?; Difference between abetment and direct crime?; Examples of abetment punishments?; Maximum punishment under IPC 311?; How is IPC 311 applied in real cases?",abetment,punishment,,,,,,,
312,Causing Miscarriage,Causing miscarriage without woman's consent.,"Someone caused miscarriage without consent, what law applies?; Punishment under Section 312 IPC?; Difference between IPC 312 and 313?; Examples of miscarriage cases under IPC 312?; Are there exceptions for causing miscarriage?",miscarriage,consent,,,,,,,
313,Causing Miscarriage Without Woman's Consent,Causing miscarriage without woman's consent.,What is the law for causing miscarriage without consent?; How is punishment different from IPC 312?; Why is IPC 313 more serious?; Examples of legal cases under IPC 313?; Difference between IPC 312 and IPC 313?,miscarriage,woman's consent,,,,,,,
314,Death Caused by Act Done with Intent to Cause Miscarriage,Death caused by act done with intent to cause miscarriage.,"A woman died after someone tried to cause a miscarriage, what law applies?; What is the punishment if death occurs while attempting abortion?; How is this different from regular abortion laws?; Can intent be proven in miscarriage-related death?; Example cases of death caused by abortion attempts?",death,miscarriage,intent,,,,,,
315,Act Done with Intent to Cause Abortion,Act done with intent to cause abortion.,"Someone tried to abort a pregnancy intentionally, what law applies?; Is it punishable to attempt abortion with intent?; Difference between lawful and unlawful abortion under the law?; What punishment is prescribed under Section 315?; Real-life examples of intent-based abortion cases?",abortion,intent,,,,,,,
316,Causing Death by Act Done with Intent to Cause Abortion,Causing death by act done with intent to cause abortion.,"A person caused death while attempting abortion, what section applies?; How is Section 316 different from 314?; What punishment is given if death occurs in abortion attempt?; Can accidental death during abortion be treated differently?; Example case under Section 316 IPC?",death,abortion,intent,,,,,,
317,Exposure and Abandonment of Child Under Twelve Years,Exposure and abandonment of child under twelve years.,"Someone left a 10-year-old child alone in the street, is this punishable?; What law applies if a child under 12 is abandoned?; Can parents be punished for abandoning a child?; Real-life examples of child abandonment?; Difference between neglect and abandonment under IPC?",child,exposure,abandonment,,,,,,
318,Concealment of Birth by Secret Disposal of Dead Body,Concealment of birth by secret disposal of dead body.,"A parent secretly disposed of a newborn, what law applies?; Is hiding a dead body punishable?; Difference between abandonment and concealment of birth?; What punishment does IPC 318 prescribe?; Can someone be charged for concealing a birth if the baby was stillborn?",birth,concealment,dead body,,,,,,
319,Grievous Hurt,Hurt which endangers life or causes serious harm.,"Someone injured another person seriously, what is considered grievous hurt?; How is grievous hurt different from simple hurt?; What punishment applies for grievous hurt?; Can minor injuries be treated as grievous hurt?; Real-life examples of grievous hurt cases?",grievous hurt,injury,,,,,,,
320,Grievous Hurt – List of Injuries,List of injuries that are considered grievous.,What injuries are listed under grievous hurt?; Is fracture considered grievous hurt?; Difference between IPC 320 and 319?; Real-life cases of listed grievous injuries?; Can any injury be considered grievous hurt?,grievous hurt,injuries,,,,,,,
321,Voluntarily Causing Hurt,Voluntarily causing hurt.,"Someone intentionally caused minor injury, which section applies?; How is voluntary hurt punished?; Difference between voluntary and involuntary hurt?; Example of voluntarily causing hurt in real life?; What punishment can someone get for voluntary hurt?",hurt,voluntary,causing,,,,,,
322,Voluntarily Causing Grievous Hurt,Voluntarily causing grievous hurt.,"Someone intentionally caused serious injury, what section applies?; What is the punishment for causing grievous hurt voluntarily?; Difference between 321 and 322 IPC?; Example of voluntary grievous hurt; Does intent matter for Section 322 cases?",grievous hurt,voluntary,,,,,,,
323,Punishment for Hurt,Punishment for hurt.,What is the punishment for voluntarily causing hurt?; How is hurt different from grievous hurt?; Can punishment vary depending on injury severity?; Real-life examples of hurt punishment cases?; Is there a maximum sentence for causing hurt under IPC?,hurt,punishment,,,,,,,
324,Voluntarily Causing Hurt by Dangerous Weapons or Means,Voluntarily causing hurt by dangerous weapons or means.,"Someone used a weapon to injure another person, what law applies?; What is the punishment for causing hurt by weapon?; How are dangerous means defined under IPC 324?; Examples of Section 324 cases?; Difference between 321 and 324?",hurt,dangerous weapons,,,,,,,
325,Punishment for Voluntarily Causing Grievous Hurt,Punishment for voluntarily causing grievous hurt.,What punishment applies for causing grievous hurt voluntarily?; Can serious injury lead to higher sentences?; Difference between 322 and 325?; Real-life 325 cases?; Maximum punishment for voluntary grievous hurt?,grievous hurt,punishment,,,,,,,
326,Voluntarily Causing Grievous Hurt by Dangerous Weapons or Means,Voluntarily causing grievous hurt by dangerous weapons or means.,"Someone used a weapon and caused grievous hurt, which law applies?; Difference between 325 and 326?; What is the punishment for Section 326?; Examples of cases involving dangerous weapons?; Are certain weapons treated more severely under IPC 326?",grievous hurt,dangerous weapons,,,,,,,
326A,Causing Hurt by Acid Attack,Causing hurt by acid attack.,"A person threw acid on someone, what punishment applies?; Is acid attack treated differently from other grievous hurt?; Difference between 326A and 326B?; Examples of acid attack cases?; What punishment is prescribed under IPC 326A?",acid attack,hurt,,,,,,,
326B,Throwing Acid with Intent to Cause Hurt,Throwing acid with intent to cause hurt.,"Someone threw acid intending to injure, what law applies?; Difference between 326A and 326B?; Punishment for intentional acid attack?; Real acid attack case example?; How is intent proven under Section 326B?",acid,throwing,intent,,,,,,
327,Causing Hurt by Poisonous Substance,Causing hurt by poisonous substance.,"Someone poisoned another person, what law applies?; Difference between 327 and 328 IPC?; Punishment for poisoning?; Example of hurt by poison case?; Does intent matter when poisoning someone?",hurt,poisonous substance,,,,,,,
328,Causing Hurt by Means of Poison, Stupefying or Intoxicating Substances,Causing hurt by means of poison, stupefying or intoxicating substances.,"Someone used poison or intoxicants to hurt, what section applies?; Difference between 327 and 328?; Punishment for causing hurt by poison or intoxicants?; Real-life poisoning case?; Is intent required under Section 328?",hurt,poison,stupefying substance,,,,
329,Causing Hurt by Means of Poisonous Substance,Causing hurt by means of poisonous substance.,"Someone hurt another by poisonous substance, what law applies?; Difference between 328 and 329 IPC?; Punishment under Section 329?; Are there specific rules for poisonous substances?; Example case under Section 329?",hurt,poisonous substance,,,,,,,
330,Causing Hurt to Extort Confession or to Compel Restoration of Property,Causing hurt to extort confession or compel restoration of property.,"Someone injured another to force confession, what section applies?; Punishment for hurting to extort?; Difference between Sections 330 and 331?; Real-life Section 330 examples?; Does intent affect punishment in Section 330?",hurt,extortion,confession,,,,,,
331,Causing Hurt to Extort Confession or to Compel Restoration of Property,Causing hurt to extort confession or compel restoration of property.,"Someone caused injury to force return of property, what law applies?; Punishment under Section 331?; Difference between 330 and 331?; Real-life extortion by hurt examples?; Are there maximum punishments under Section 331?",hurt,extortion,confession,,,,,,
332,Voluntarily Causing Hurt to Deter Public Servant from His Duty,Voluntarily causing hurt to deter public servant from his duty.,"Someone injured a public servant to stop them from duty, what law applies?; Punishment under Section 332?; Difference between 332 and 333?; Example cases under Section 332?; Is intent required for Section 332?",hurt,public servant,,,,,,,
333,Voluntarily Causing Hurt to Deter Public Servant from His Duty,Voluntarily causing hurt to deter public servant from his duty.,"Someone hurt a public servant to prevent duty, what law applies?; Punishment under Section 333?; Difference between 332 and 333?; Real-life cases of public servant hurt?; Is intent necessary for Section 333?",hurt,public servant,,,,,,,
334,Causing Hurt on Provocation,Causing hurt on provocation.,"Someone injured another in a sudden quarrel, is it punishable?; Difference between 334 and 335?; Example of hurt on provocation?; Punishment under Section 334?; Does provocation reduce sentence?",hurt,provocation,,,,,,,
335,Causing Hurt on Provocation,Causing hurt on provocation.,"A person acted violently after being provoked, what law applies?; Difference between 334 and 335?; Real-life examples of hurt on provocation?; Punishment under Section 335?; Can provocation affect sentence?",hurt,provocation,,,,,,,
336,Act Endangering Life or Personal Safety of Others,Act endangering life or personal safety of others.,"Someone fired a gun recklessly, endangering others, what law applies?; Punishment under Section 336?; Difference between 336 and 337?; Real-life examples of endangerment?; What acts fall under Section 336?",endangerment,life,safety,,,,,,
337,Causing Hurt by Act Endangering Life or Personal Safety of Others,Causing hurt by act endangering life or personal safety of others.,"Someone caused injury while endangering life, what section applies?; Punishment under Section 337?; Difference between 337 and 338?; Example cases under Section 337?; Is intent required for Section 337?",hurt,endangerment,,,,,,,
