Section,Title,Description,Example Queries,Keywords,LawType,Domain,Intent
299,Culpable Homicide,Causing death with intention or knowledge.,"My neighbor accidentally killed someone during a fight, is that culpable homicide?; Someone caused a death without meaning to, what law applies?; Difference between accidental and intentional killing?; Can I be punished for causing death in a quarrel?; Example cases of culpable homicide in real life?","culpable homicide, death, intention",Criminal Law,Offences Against Human Body,Mixed
300,Murder,Culpable homicide amounting to murder.,"Someone planned and killed a person, what will happen legally?; My friend intentionally killed someone, is this murder?; Are there exceptions where intentional killing is not murder?; How is murder punished under IPC?; Famous cases of murder in India?","murder, culpable homicide, IPC",Criminal Law,Offences Against Human Body,Intentional
301,Culpable Homicide by Causing Death of Person Other Than Intended,Causing death of a person other than the one intended.,"I tried to harm one person but another died, what law applies?; What happens if someone dies accidentally while I intended to harm someone else?; Am I liable if I kill the wrong person?; Real examples of unintended death by my actions?; Difference between this and normal culpable homicide?","culpable homicide, unintended death",Criminal Law,Offences Against Human Body,Intentional
302,Punishment for Murder,Punishment for murder.,"What happens if someone commits murder?; Can murder result in the death penalty?; How long can a person be jailed for murder?; Are there cases where murder punishment is reduced?; Examples of punishments for murder cases?","murder, punishment, IPC",Criminal Law,Offences Against Human Body,Intentional
303,Punishment for Murder by Life Convict,Punishment for murder by a life convict.,"What happens if a life convict commits murder?; Why is punishment for murder by a life convict stricter?; Is this section still used in India?; Difference in punishment between normal murder and murder by life convict?; Example cases of IPC 303?","murder, life convict, punishment",Criminal Law,Offences Against Human Body,Intentional
304,Punishment for Culpable Homicide Not Amounting to Murder,Punishment for culpable homicide not amounting to murder.,"Someone caused death but it’s not murder, what punishment applies?; How is IPC 304 different from murder?; Real examples of culpable homicide under IPC 304?; Factors deciding if a death is under IPC 304?; Difference between Part I and Part II of Section 304?","culpable homicide, punishment",Criminal Law,Offences Against Human Body,Mixed
304A,Causing Death by Negligence,Causing death by negligence.,"A driver caused a fatal accident, can they be punished under IPC 304A?; Can doctors be prosecuted for medical negligence?; Difference between rash driving causing death and murder?; Examples of negligence leading to death?; What punishment applies for negligence causing death?","negligence, death, IPC",Criminal Law,Offences Against Human Body,Negligent
304B,Dowry Death,Death caused by burns or bodily injury within 7 years of marriage subject to dowry harassment.,"My sister died due to dowry harassment, what law applies?; What is the punishment for dowry death?; Difference between dowry death and murder?; Conditions to prove dowry death under IPC 304B?; Famous dowry death cases?","dowry death, marriage, harassment",Criminal Law,Offences Against Human Body,Intentional
305,Abetment of Suicide of Child or Insane Person,Abetment of suicide of a child or insane person.,"Someone encouraged a child to commit suicide, what law applies?; What punishment is there for abetting suicide of an insane person?; Difference between IPC 305 and 306?; Examples of child suicide abetment cases?; Why is IPC 305 considered more serious?","suicide, abetment, child, insane person",Criminal Law,Suicide & Abetment,Intentional
306,Abetment of Suicide,Abetment of suicide.,"Someone was harassed and committed suicide, is abetment involved?; What punishment applies under IPC 306?; Difference between IPC 305 and 306?; Can mental harassment count as abetment?; Examples of abetment of suicide cases?","suicide, abetment",Criminal Law,Suicide & Abetment,Intentional
307,Attempt to Murder,Attempt to murder.,"My neighbor tried to kill someone but failed, what law applies?; What is the punishment for attempted murder?; Difference between attempted murder and actual murder?; What evidence is needed to prove attempt to murder?; Case examples of attempt to murder?","attempt, murder, IPC",Criminal Law,Offences Against Human Body,Intentional
308,Attempt to Commit Culpable Homicide,Attempt to commit culpable homicide.,"Someone tried to harm someone but didn’t succeed, what section applies?; Punishment for attempt to commit culpable homicide?; Difference between IPC 308 and IPC 307?; Factors deciding whether it’s IPC 308 or IPC 307?; Examples of failed homicide attempts?","attempt, culpable homicide",Criminal Law,Offences Against Human Body,Intentional
309,Attempt to Commit Suicide,Attempt to commit suicide.,"I tried to commit suicide but failed, am I punishable?; Is attempting suicide illegal under IPC 309?; Difference between IPC 309 and IPC 306?; Has IPC 309 been decriminalized?; Examples of legal action on suicide attempts?","suicide, attempt",Criminal Law,Suicide & Abetment,Mixed
